0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
32.0,58.0,66.0,26.0,17.0,19.0,29.0,33.0,53.0,40.0,42.0,37.0,37.0,44.0,47.0,48.0,2
-44.0,-72.0,-67.0,-44.0,-41.0,-42.0,-50.0,-62.0,-17.0,-14.0,-3.0,-9.0,-12.0,-12.0,-9.0,-9.0,2
8.0,1.0,8.0,0.0,-3.0,-14.0,-15.0,-7.0,-4.0,-6.0,-3.0,-7.0,-9.0,-15.0,-15.0,-7.0,2
206.0,57.0,14.0,0.0,59.0,73.0,70.0,95.0,186.0,102.0,92.0,106.0,86.0,42.0,50.0,138.0,2
-8.0,-20.0,-52.0,-2.0,-41.0,-64.0,-53.0,-24.0,36.0,-67.0,26.0,-11.0,25.0,42.0,92.0,-97.0,2
-50.0,0.0,33.0,20.0,11.0,1.0,-20.0,-6.0,30.0,0.0,48.0,16.0,38.0,50.0,23.0,48.0,2
233.0,20.0,29.0,23.0,26.0,28.0,39.0,58.0,117.0,40.0,64.0,57.0,56.0,39.0,0.0,73.0,2
-54.0,-39.0,-41.0,-17.0,-20.0,-27.0,-27.0,-28.0,-37.0,-30.0,-27.0,-24.0,-24.0,-25.0,-29.0,-30.0,2
-23.0,-31.0,-30.0,-25.0,-23.0,-21.0,-9.0,-27.0,-59.0,-15.0,-53.0,-32.0,-42.0,-54.0,-37.0,-75.0,2
2.0,10.0,11.0,1.0,8.0,4.0,1.0,-2.0,18.0,15.0,19.0,18.0,17.0,20.0,25.0,15.0,2
76.0,-19.0,-8.0,-25.0,-14.0,-14.0,-2.0,-12.0,-28.0,1.0,-50.0,-20.0,-35.0,-54.0,-44.0,-69.0,2
21.0,40.0,45.0,41.0,37.0,38.0,32.0,4.0,-10.0,16.0,0.0,15.0,7.0,-3.0,-18.0,-26.0,2
17.0,-13.0,-9.0,9.0,4.0,5.0,-2.0,-7.0,-20.0,-13.0,-5.0,1.0,3.0,1.0,-2.0,-1.0,2
